prefix,country
AG,Solomon Islands
AN,Nauru
AY,Papua New Guinea
BG,Greenland
BI,Iceland
BK,Kosovo
DA,Algeria
DB,Benin
DF,Burkina Faso
DG,Ghana
DI,Côte d'Ivoire
DN,Nigeria
DR,Niger
DT,Tunisia
DX,TogoleseRepublic
EB,Belgium
ED,Germany (civil)
EE,Estonia
EF,Finland
EG,United Kingdom (and Crown dependencies)
EH,Netherlands
EI,Ireland
EK,Denmark and the Faroe Islands
EL,Luxembourg
EN,Norway
EP,Poland
ES,Sweden
ET,Germany (military)
EV,Latvia
EY,Lithuania
FA,South Africa
FB,Botswana
FC,Republic of the Congo
FD,Eswatini
FE,Central African Republic
FG,Equatorial Guinea
FH,Saint HelenaAscension and Tristan da Cunha
FI,Mauritius
FJ,British Indian Ocean Territory
FK,Cameroon
FL,Zambia
FM,ComorosFrance (Mayotte and Réunion) and Madagascar
FN,Angola
FO,Gabon
FP,São Tomé and Príncipe
FQ,Mozambique
FS,Seychelles
FT,Chad
FV,Zimbabwe
FW,Malawi
FX,Lesotho
FY,Namibia
FZ,Democratic Republic of the Congo
GA,Mali
GB,The Gambia
GC,Spain (Canary Islands)
GE,Spain (Ceuta and Melilla)
GF,Sierra Leone
GG,Guinea-Bissau
GL,Liberia
GM,Morocco
GO,Senegal
GQ,Mauritania
GS,Western Sahara
GU,Guinea
GV,Cape Verde
HA,Ethiopia
HB,Burundi
HC,Somalia (including Somaliland)
HD,Djibouti
HE,Egypt
HH,Eritrea
HK,Kenya
HL,Libya
HR,Rwanda
HS,Sudan and South Sudan
HT,Tanzania
HU,Uganda
LA,Albania
LB,Bulgaria
LC,Cypruslia
LD,Croatia
LE,Spain (mainland section and Balearic Islands)
LF,France (Metropolitan France; including Saint-Pierre and Miquelon)
LG,Greece
LH,Hungary
LI,Italy
LJ,Slovenia
LK,Czech Republic
LL,Israel
LM,Malta
LN,Monaco
LO,Austria
LP,Portugal (including the Azores and Madeira)
LQ,Bosnia and Herzegovina
LR,Romania
LS,Switzerland
LT,Turkey
LU,Moldova
LV,Palestine/Palestinian territories
LW,North Macedonia
LX,Gibraltar
LY,Serbia and Montenegro
LZ,Slovakia
MB,Turks and Caicos Islands
MD,Dominican Republic
MG,Guatemala
MH,Honduras
MK,Jamaica
MM,Mexico
MN,Nicaragua
MP,Panama
MR,Costa Rica
MS,El Salvador
MT,Haiti
MU,Cuba
MW,Cayman Islands
MY,Bahamas
MZ,Belize
NC,Cook Islands
NF,Fiji Tonga
NG,Kiribati (Gilbert Islands) Tuvalu
NI,Niue
NL,France (Wallis and Futuna)
NS,Samoa United States (American Samoa)
NT,France (French Polynesia)
NV,Vanuatu
NW,France (New Caledonia)
NZ,New Zealand parts of Antarctica
OA,Afghanistan
OB,Bahrain
OE,Saudi Arabia
OI,Iran
OJ,Jordan and the West Bank
OK,Kuwait
OL,Lebanon
OM,United Arab Emirates
OO,Oman
OP,Pakistan
OR,Iraq
OS,Syria
OT,Qatar
OY,Yemen
PA,US (Alaska) (also PF PO and PP)
PB,US (Baker Island)
PC,Kiribati (Canton Airfield Phoenix Islands)
PF,US (Alaska) (also PA PO and PP)
PG,US (Guam Northern Mariana Islands)
PH,US (Hawaii)
PJ,US (Johnston Atoll)
PK,Marshall Islands
PL,Kiribati (Line Islands)
PM,US (Midway Island)
PO,US (Alaska) (also PA PF and PP)
PP,US (Alaska) (also PA PF and PO)
PT,Federated States of Micronesia Palau
PW,US (Wake Island)
RC,Republic of China (Taiwan)
RJ,Japan (Mainland)
RK,Republic of Korea (South Korea)
RO,Japan (Okinawa)
RP,Philippines
SA,Argentina (including parts of Antarctica)
SB,Brazil (also SD SI SJSNSS and SW)
SC,Chile (including Easter Island and parts of Antarctica) (also SH)
SD,Brazil (also SBSISJSNSS and SW)
SE,Ecuador
SF,United Kingdom (Falkland Islands)
SG,Paraguay
SH,Chile (also SC)
SI,Brazil (also SBSDSJSNSS and SW)
SJ,Brazil (also SBSDSISNSS and SW)
SK,Colombia
SL,Bolivia
SM,Suriname
SN,Brazil (also SBSDSISJSS and SW)
SO,France (French Guiana)
SP,Peru
SS,Brazil (also SBSDSISJSN and SW)
SU,Uruguay
SV,Venezuela
SW,Brazil (also SBSDSISJSN and SS)
SY,Guyana
TA,Antigua and Barbuda
TB,Barbados
TD,Dominica
TF,France (GuadeloupeMartiniqueSaint BarthélemySaint Martin)
TG,Grenada
TI,US (U.S. Virgin Islands)
TJ,US (Puerto Rico)
TK,Saint Kitts and Nevis
TL,Saint Lucia
TN,Caribbean NetherlandsArubaCuraçaoSint Maarten
TQ,UK (Anguilla)
TR,UK (Montserrat)
TT,Trinidad and Tobago
TU,UK (British Virgin Islands)
TV,Saint Vincent and the Grenadines
TX,UK (Bermuda)va
UA,Kazakhstan
UB,Azerbaijan
UC,Kyrgyzstan
UD,Armenia
UG,Georgia
UK,Ukraine
UM,Belarus and Russia (Kaliningrad Oblast)
UT,TajikistanTurkmenistanUzbekistan
VA,India (West India)
VC,Sri Lanka
VD,Cambodia
VE,India (East India)
VG,Bangladesh
VH,Hong Kong
VI,India (North India)
VL,Laos
VM,Macau
VN,Nepal
VO,India (South India)
VQ,Bhutan
VR,Maldives
VT,Thailand
VV,Vietnam
VY,Myanmar
WA,Indonesia (also WIWQ and WR)
WB,BruneiMalaysia (East Malaysia)
WI,Indonesia (also WAWQ and WR)
WM,Malaysia (Peninsular Malaysia)
WP,Timor-Leste
WQ,Indonesia (also WAWI and WR)
WR,Indonesia (also WAWI and WQ)
WS,Singapore
ZK,North Korea
ZM,Mongolia
